Game,Team,HomeAway,First downs,Third downs,Third downs converted,Third down efficiency,Fourth downs,Fourth downs converted,Total yards,Passing yards,Passing attempts,Passing completions,Passing efficiency,Yards per pass,Rushing yards,Rushing attempts,Yards per rush,Penalties,Penalty yards,Turnovers,Fumbles,Fumbles lost,Intercepted,Time of possession
1,Dropbears,Away,14,15,4,0.267,1,0,291,121,29,13,0.448,4.2,170,37,4.6,8,40,1,0,0,1,28:23
1,Explorers,Home,17,14,6,0.429,1,0,336,155,35,16,0.457,4.4,181,34,5.3,3,35,4,1,1,3,36:57
2,Explorers,Away,17,11,2,0.182,2,1,375,278,39,27,0.692,7.1,97,16,6.1,5,35,1,2,1,0,34:03
2,Bandits,Home,15,11,2,0.182,0,0,302,193,27,16,0.593,7.1,109,31,3.5,5,25,0,1,0,0,25:57
3,Bandits,Away,17,17,6,0.353,0,0,318,185,32,18,0.563,5.8,133,39,3.4,7,49,1,0,0,1,33:57
3,Dropbears,Home,13,11,3,0.273,0,0,335,155,32,16,0.500,4.8,180,26,6.9,7,48,3,1,1,2,26:03
4,Explorers,Away,16,18,5,0.278,1,0,339,250,55,24,0.436,4.5,89,18,4.9,7,55,0,0,0,0,32:54
4,Dropbears,Home,18,13,5,0.385,0,0,445,177,30,15,0.500,5.9,268,40,6.7,3,15,3,2,1,2,31:06
5,Dropbears,Away,22,16,9,0.563,1,1,403,191,31,22,0.710,6.2,212,48,4.4,7,68,2,0,0,2,37:19
5,Bandits,Home,13,11,3,0.273,0,0,237,124,33,13,0.394,3.8,113,22,5.1,3,15,0,0,0,0,22:41
6,Bandits,Away,13,15,4,0.267,1,0,276,156,37,16,0.432,4.2,120,29,4.1,8,61,2,0,0,2,28:28
6,Explorers,Home,18,12,5,0.417,1,1,361,186,39,21,0.538,4.8,175,36,4.9,3,25,4,2,1,3,39:53
P,Dropbears,Away,12,15,4,0.267,0,0,242,104,24,11,0.458,4.3,138,29,4.8,6,35,1,0,0,1,25:34
P,Bandits,Home,18,14,4,0.286,1,1,319,179,37,21,0.568,4.8,140,35,4.0,7,40,3,1,1,2,34:26
